"State","E.V.","poll_state","chance","probability_win","party","prob_dem_win","prob_rep_win","date"
"D.C.
							D.C.",3,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"California
							Calif.",55,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Massachusetts
							Mass.",11,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Hawaii
							Hawaii",4,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New York
							N.Y.",29,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Vermont
							Vt.",3,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Illinois
							Ill.",20,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Rhode Island
							R.I.",4,"NYT",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maryland
							Md.",10,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Delaware
							Del.",3,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Connecticut
							Conn.",7,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Jersey
							N.J.",14,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Washington
							Wash.",12,"NYT","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Oregon
							Ore.",7,"NYT","97%
								
									 Dem.",0.97,"Dem",0.97,0.03,2016-11-05
"Virginia
							Va.",13,"NYT","96%
								
									 Dem.",0.96,"Dem",0.96,0.04,2016-11-05
"New Mexico
							N.M.",5,"NYT","95%
								
									 Dem.",0.95,"Dem",0.95,0.05,2016-11-05
"Wisconsin
							Wis.",10,"NYT","92%
								
									 Dem.",0.92,"Dem",0.92,0.08,2016-11-05
"Michigan
							Mich.",16,"NYT","92%
								
									 Dem.",0.92,"Dem",0.92,0.08,2016-11-05
"Minnesota
							Minn.",10,"NYT","90%
								
									 Dem.",0.9,"Dem",0.9,0.1,2016-11-05
"Pennsylvania
							Pa.",20,"NYT","90%
								
									 Dem.",0.9,"Dem",0.9,0.1,2016-11-05
"Maine
							Me.",2,"NYT","88%
								
									 Dem.",0.88,"Dem",0.88,0.12,2016-11-05
"Colorado
							Colo.",9,"NYT","86%
								
									 Dem.",0.86,"Dem",0.86,0.14,2016-11-05
"New Hampshire
							N.H.",4,"NYT","85%
								
									 Dem.",0.85,"Dem",0.85,0.15,2016-11-05
"North Carolina
							N.C.",15,"NYT","70%
								
									 Dem.",0.7,"Dem",0.7,0.3,2016-11-05
"Florida
							Fla.",29,"NYT","68%
								
									 Dem.",0.68,"Dem",0.68,0.32,2016-11-05
"Nevada
							Nev.",6,"NYT","67%
								
									 Dem.",0.67,"Dem",0.67,0.33,2016-11-05
"Ohio
							Ohio",18,"NYT","54%
								
									 Rep.",0.54,"Rep",0.46,0.54,2016-11-05
"Iowa
							Iowa",6,"NYT","59%
								
									 Rep.",0.59,"Rep",0.41,0.59,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"NYT","62%
								
									 Rep.",0.62,"Rep",0.38,0.62,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"NYT","68%
								
									 Rep.",0.68,"Rep",0.32,0.68,2016-11-05
"Utah
							Utah",6,"NYT","72%
								
									 Rep.",0.72,"Rep",0.28,0.72,2016-11-05
"Arizona
							Ariz.",11,"NYT","74%
								
									 Rep.",0.74,"Rep",0.26,0.74,2016-11-05
"Georgia
							Ga.",16,"NYT","75%
								
									 Rep.",0.75,"Rep",0.25,0.75,2016-11-05
"South Carolina
							S.C.",9,"NYT","85%
								
									 Rep.",0.85,"Rep",0.15,0.85,2016-11-05
"Mississippi
							Miss.",6,"NYT","86%
								
									 Rep.",0.86,"Rep",0.14,0.86,2016-11-05
"Alaska
							Alaska",3,"NYT","90%
								
									 Rep.",0.9,"Rep",0.1,0.9,2016-11-05
"Texas
							Tex.",38,"NYT","92%
								
									 Rep.",0.92,"Rep",0.08,0.92,2016-11-05
"Missouri
							Mo.",10,"NYT","97%
								
									 Rep.",0.97,"Rep",0.03,0.97,2016-11-05
"Indiana
							Ind.",11,"NYT","97%
								
									 Rep.",0.97,"Rep",0.03,0.97,2016-11-05
"Louisiana
							La.",8,"NYT","97%
								
									 Rep.",0.97,"Rep",0.03,0.97,2016-11-05
"Tennessee
							Tenn.",11,"NYT","97%
								
									 Rep.",0.97,"Rep",0.03,0.97,2016-11-05
"Kansas
							Kan.",6,"NYT","97%
								
									 Rep.",0.97,"Rep",0.03,0.97,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"NYT","98%
								
									 Rep.",0.98,"Rep",0.02,0.98,2016-11-05
"Montana
							Mont.",3,"NYT","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"West Virginia
							W.Va.",5,"NYT","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Idaho
							Idaho",4,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arkansas
							Ark.",6,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Oklahoma
							Okla.",7,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"North Dakota
							N.D.",3,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alabama
							Ala.",9,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska
							Neb.",2,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"South Dakota
							S.D.",3,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Kentucky
							Ky.",8,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Wyoming
							Wyo.",3,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 3)*
							Neb.-3*",1,"NYT",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"D.C.
							D.C.",3,"538",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"California
							Calif.",55,"538",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Massachusetts
							Mass.",11,"538",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Hawaii
							Hawaii",4,"538","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New York
							N.Y.",29,"538",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Vermont
							Vt.",3,"538","98%
								
									 Dem.",0.98,"Dem",0.98,0.02,2016-11-05
"Illinois
							Ill.",20,"538","98%
								
									 Dem.",0.98,"Dem",0.98,0.02,2016-11-05
"Rhode Island
							R.I.",4,"538","91%
								
									 Dem.",0.91,"Dem",0.91,0.09,2016-11-05
"Maryland
							Md.",10,"538",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Delaware
							Del.",3,"538","90%
								
									 Dem.",0.9,"Dem",0.9,0.1,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"538","89%
								
									 Dem.",0.89,"Dem",0.89,0.11,2016-11-05
"Connecticut
							Conn.",7,"538","95%
								
									 Dem.",0.95,"Dem",0.95,0.05,2016-11-05
"New Jersey
							N.J.",14,"538","97%
								
									 Dem.",0.97,"Dem",0.97,0.03,2016-11-05
"Washington
							Wash.",12,"538","97%
								
									 Dem.",0.97,"Dem",0.97,0.03,2016-11-05
"Oregon
							Ore.",7,"538","91%
								
									 Dem.",0.91,"Dem",0.91,0.09,2016-11-05
"Virginia
							Va.",13,"538","81%
								
									 Dem.",0.81,"Dem",0.81,0.19,2016-11-05
"New Mexico
							N.M.",5,"538","81%
								
									 Dem.",0.81,"Dem",0.81,0.19,2016-11-05
"Wisconsin
							Wis.",10,"538","78%
								
									 Dem.",0.78,"Dem",0.78,0.22,2016-11-05
"Michigan
							Mich.",16,"538","76%
								
									 Dem.",0.76,"Dem",0.76,0.24,2016-11-05
"Minnesota
							Minn.",10,"538","82%
								
									 Dem.",0.82,"Dem",0.82,0.18,2016-11-05
"Pennsylvania
							Pa.",20,"538","74%
								
									 Dem.",0.74,"Dem",0.74,0.26,2016-11-05
"Maine
							Me.",2,"538","78%
								
									 Dem.",0.78,"Dem",0.78,0.22,2016-11-05
"Colorado
							Colo.",9,"538","73%
								
									 Dem.",0.73,"Dem",0.73,0.27,2016-11-05
"New Hampshire
							N.H.",4,"538","61%
								
									 Dem.",0.61,"Dem",0.61,0.39,2016-11-05
"North Carolina
							N.C.",15,"538","52%
								
									 Rep.",0.52,"Rep",0.48,0.52,2016-11-05
"Florida
							Fla.",29,"538","52%
								
									 Rep.",0.52,"Rep",0.48,0.52,2016-11-05
"Nevada
							Nev.",6,"538","50%
								
									 Dem.",0.5,"Dem",0.5,0.5,2016-11-05
"Ohio
							Ohio",18,"538","69%
								
									 Rep.",0.69,"Rep",0.31,0.69,2016-11-05
"Iowa
							Iowa",6,"538","71%
								
									 Rep.",0.71,"Rep",0.29,0.71,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"538","54%
								
									 Rep.",0.54,"Rep",0.46,0.54,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"538","63%
								
									 Rep.",0.63,"Rep",0.37,0.63,2016-11-05
"Utah
							Utah",6,"538","84%
								
									 Rep.",0.84,"Rep",0.16,0.84,2016-11-05
"Arizona
							Ariz.",11,"538","74%
								
									 Rep.",0.74,"Rep",0.26,0.74,2016-11-05
"Georgia
							Ga.",16,"538","84%
								
									 Rep.",0.84,"Rep",0.16,0.84,2016-11-05
"South Carolina
							S.C.",9,"538","90%
								
									 Rep.",0.9,"Rep",0.1,0.9,2016-11-05
"Mississippi
							Miss.",6,"538","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alaska
							Alaska",3,"538","76%
								
									 Rep.",0.76,"Rep",0.24,0.76,2016-11-05
"Texas
							Tex.",38,"538","96%
								
									 Rep.",0.96,"Rep",0.04,0.96,2016-11-05
"Missouri
							Mo.",10,"538","97%
								
									 Rep.",0.97,"Rep",0.03,0.97,2016-11-05
"Indiana
							Ind.",11,"538","98%
								
									 Rep.",0.98,"Rep",0.02,0.98,2016-11-05
"Louisiana
							La.",8,"538",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Tennessee
							Tenn.",11,"538","98%
								
									 Rep.",0.98,"Rep",0.02,0.98,2016-11-05
"Kansas
							Kan.",6,"538","98%
								
									 Rep.",0.98,"Rep",0.02,0.98,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"538","91%
								
									 Rep.",0.91,"Rep",0.09,0.91,2016-11-05
"Montana
							Mont.",3,"538","96%
								
									 Rep.",0.96,"Rep",0.04,0.96,2016-11-05
"West Virginia
							W.Va.",5,"538",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Idaho
							Idaho",4,"538","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arkansas
							Ark.",6,"538",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Oklahoma
							Okla.",7,"538",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"North Dakota
							N.D.",3,"538","98%
								
									 Rep.",0.98,"Rep",0.02,0.98,2016-11-05
"Alabama
							Ala.",9,"538",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska
							Neb.",2,"538","98%
								
									 Rep.",0.98,"Rep",0.02,0.98,2016-11-05
"South Dakota
							S.D.",3,"538","95%
								
									 Rep.",0.95,"Rep",0.05,0.95,2016-11-05
"Kentucky
							Ky.",8,"538",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Wyoming
							Wyo.",3,"538","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 3)*
							Neb.-3*",1,"538","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"D.C.
							D.C.",3,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"California
							Calif.",55,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Massachusetts
							Mass.",11,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Hawaii
							Hawaii",4,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New York
							N.Y.",29,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Vermont
							Vt.",3,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Illinois
							Ill.",20,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Rhode Island
							R.I.",4,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maryland
							Md.",10,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Delaware
							Del.",3,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maine (CD 1)*
							Me.-1*",1,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Connecticut
							Conn.",7,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Jersey
							N.J.",14,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Washington
							Wash.",12,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Oregon
							Ore.",7,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Virginia
							Va.",13,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Mexico
							N.M.",5,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Wisconsin
							Wis.",10,"HuffPost","98%
								
									 Dem.",0.98,"Dem",0.98,0.02,2016-11-05
"Michigan
							Mich.",16,"HuffPost","99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Minnesota
							Minn.",10,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Pennsylvania
							Pa.",20,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Maine
							Me.",2,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"Colorado
							Colo.",9,"HuffPost",">99%
								
									 Dem.",0.99,"Dem",0.99,0.01,2016-11-05
"New Hampshire
							N.H.",4,"HuffPost","91%
								
									 Dem.",0.91,"Dem",0.91,0.09,2016-11-05
"North Carolina
							N.C.",15,"HuffPost","89%
								
									 Dem.",0.89,"Dem",0.89,0.11,2016-11-05
"Florida
							Fla.",29,"HuffPost","94%
								
									 Dem.",0.94,"Dem",0.94,0.0600000000000001,2016-11-05
"Nevada
							Nev.",6,"HuffPost","76%
								
									 Dem.",0.76,"Dem",0.76,0.24,2016-11-05
"Ohio
							Ohio",18,"HuffPost","51%
								
									 Dem.",0.51,"Dem",0.51,0.49,2016-11-05
"Iowa
							Iowa",6,"HuffPost","79%
								
									 Rep.",0.79,"Rep",0.21,0.79,2016-11-05
"Maine (CD 2)*
							Me.-2*",1,"HuffPost","50%
								
									 Dem.",0.5,"Dem",0.5,0.5,2016-11-05
"Nebraska (CD 2)*
							Neb.-2*",1,"HuffPost","50%
								
									 Dem.",0.5,"Dem",0.5,0.5,2016-11-05
"Utah
							Utah",6,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arizona
							Ariz.",11,"HuffPost","84%
								
									 Rep.",0.84,"Rep",0.16,0.84,2016-11-05
"Georgia
							Ga.",16,"HuffPost","86%
								
									 Rep.",0.86,"Rep",0.14,0.86,2016-11-05
"South Carolina
							S.C.",9,"HuffPost","95%
								
									 Rep.",0.95,"Rep",0.05,0.95,2016-11-05
"Mississippi
							Miss.",6,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Alaska
							Alaska",3,"HuffPost","99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Texas
							Tex.",38,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Missouri
							Mo.",10,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Indiana
							Ind.",11,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Louisiana
							La.",8,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Tennessee
							Tenn.",11,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Kansas
							Kan.",6,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Nebraska (CD 1)*
							Neb.-1*",1,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Montana
							Mont.",3,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"West Virginia
							W.Va.",5,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Idaho
							Idaho",4,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Arkansas
							Ark.",6,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"Oklahoma
							Okla.",7,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
"North Dakota
							N.D.",3,"HuffPost",">99%
								
									 Rep.",0.99,"Rep",0.01,0.99,2016-11-05
